creationTime,nickname,content,buy_time,点赞数,回复数,content_type,referenceName
2020-10-12 09:41:28,14743441283,"外形外观：外观非常漂亮，很时尚，小孩也非常喜欢。
冷暖效果：制冷效果非常好，速度非常快。
静音效果：开到最大风量，声音也很小。
节能省电：新一级能效，省电肯定没问题了
产品特色：还可以连接手机，智能管理非常便捷。
送货安装：安装师傅非常细心，铜管也安装至背面，很满意。",2020-10-01 00:01:40,0,1,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-08-07 19:46:49,14505785222,"外形外观：白，外观简洁大方
冷暖效果：空调冷暖效果很好，也很省电
静音效果：静音效果很好，开最大风量会呼呼的，但温度下来了声音都很小
节能省电：国标新一级能效，肯定错不了
产品特色：自动灭屏和手机控制很实用，自适温这个功能也赞
送货安装：送货安装都很准时，安装师傅服务很到位。满意
这款空调新款老款加一起买了四台了，相信美的。喜欢京东的物流和服务。",2020-08-01 23:06:22,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-08-18 22:01:06,14545833135,"外形外观：外观简洁漂亮，纹理非常的有质感，显得高档。
冷暖效果：制冷效果非常的快，我平常开27度已经够用了，制热夏天还没测试
静音效果：稳定之后没听到有什么声音，总体非常静音
送货安装：让师傅帮我拆了老空调，各种费用都讲解得很清楚，真空也抽了20分钟以上，安装技术非常好，态度也好，这么热的天气真是辛苦了",2020-07-27 00:51:52,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-10-20 08:03:01,14774186256,"外形外观：外型非常喜欢的，很大气时尚高档气。
冷暖效果：效果很好的，挺满意的。
静音效果：声音不大，挺好的。
节能省电：很节能环保，一级的。
产品特色：高档气质，美丽大方。
送货安装：安装服务周到，满满正能量。没有乱收费。",2020-10-01 10:04:40,0,1,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-26 19:47:51,14461520665,"外形外观：外观简洁大方，很显档次
冷暖效果：制热还没有用过，制冷真的非常快
静音效果：正常的出风声音，还算静音，不影响睡眠
节能省电：新一级能耗，应该还算省电
产品特色：整机质保6年，超长质保，售后无后顾之忧
送货安装：送货和安装师傅都很好，耐心确认家庭住址，安装师傅很专业，技术娴熟，安装很耐心和细心，跟家里老人交代如何使用等",2020-07-23 10:03:47,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-08-16 12:01:02,14536120604,京东快递到货快，送货上门，服务周到。美的知名品牌，售后服务一流。这款空调静音，制冷快，新一级，非常节能省电，再也不用担心高额电费啦。还有一键防直吹模式，对于把空调安装的床旁的，很实用。非常满意，下次有需要再来购买，也会介绍身边的朋友过来购买。点赞??,2020-07-31 09:56:57,1,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-24 19:05:48,14454280111,感觉不错，看上去有一种很高档的感觉，智能的不知道怎么用，节能效果等用一段时间在来评论。,2020-07-16 11:21:39,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-10-11 10:36:36,14739849960,空调非常年轻化，很时尚，遥控器很迷你，在20平方的房间里这空调足够用，非常合适，安装师傅服务非常到位，管子补齐，价格明码标价收费，在阳台安装很用心。,2020-10-08 23:58:30,0,2,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-08-20 18:39:19,14552439171,"外形外观：外观很简洁大气，数学显示清晰
冷暖效果：30秒迅速制冷，风力强劲
静音效果：静音效果很好
节能省电：一级效能，很省电
产品特色：智能联网，用手机APP也能控制
送货安装：送货速度超级给力，安装服务很到位",2020-08-19 08:16:11,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-11-20 12:36:23,14935973363,"外形外观：外形漂亮时尚很好。现在的空调比以前好看多了。
冷暖效果：制冷效果非常好，开会我就很凉了。
静音效果：开启了非常安静，睡得好，你另外一点听不到有噪音的声音。
节能省电：安装的人跟我说，你开一个晚上大概2度电左右，像这样的话就很省电了，用了以后才知道。
产品特色：双十一打特价非常便宜。
送货安装：安装师傅很。很好，很到位，很专业，很会很会为客户着想的。",2020-11-10 21:49:46,0,1,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-22 10:23:57,14445116215,"送货安装：送货速度很快，师傅直接送到家门口，很方便
外形外观：简洁大方，赏心悦目
冷暖效果：制冷效果不错，温度降得比较快
静音效果：调低风速静音效果不错，不影响睡眠
节能省电：可以通过美的app选择更多模式，智控温舒省等等，很方便
产品特色：售后服务比较高，性价比高，工薪阶级的不二之选",2020-07-15 00:00:09,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-24 08:57:29,14452106679,外形还不错，不会很死板，遥控器也设计得很小巧，哈哈，安装师傅服务态度很不错，本来约了时间，后来又改了，师傅也很配合，静音效果不错，新节能产品期待挺高的,2020-07-17 15:28:04,1,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-23 11:02:55,14448962422,首先京东物流到货很快。外观大气漂亮，制冷效果很好，制冷也很快，声音也挺小，开省电模式的话非常省电，再也不用担心耗电的问题了。到货第二天师傅就上门安装，安装技术娴熟，服务态度很好，好评！挺满意这次购物的！,2020-07-19 10:54:21,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-26 12:59:08,14460071491,外观精美，超级好看，制冷很快，静音效果很好，又很省电，安装师傅，服务态度很好，真的超级赞,2020-07-24 19:43:57,0,1,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-27 19:58:56,14465374595,"外形外观：外观大气有档次，白色的很干净
静音效果：静音效果很好，没有噪音
送货安装：安装的师傅不错
节能省电：一级能效，还是很省电的",2020-07-20 22:03:06,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-20 00:01:55,14436612722,"外形外观：新款的很漂亮，颜值很高
静音效果：几乎听不见声音，睡眠很安心
节能省电：一级能耗很省电，不用担心费电
产品特色：颜值高性能强，制冷快，可供选择的模式很多
送货安装：安装师傅服务态度很好，安装过程很愉快
冷暖效果：制冷很快速，比老式空调省电多了，并且房间温度很舒服",2020-07-17 00:18:14,2,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-09 13:14:50,14397210594,美的（Midea）新一级 i青春II 智能控制 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1外形美观大方，新一级能效，整机六年质保，超长质量，质量过硬，技术独特，售后无后顾之忧，智能变频超级省电，制冷迅速凉爽，是一款完美的空调，售后安装极速，售后相当得力，头天到的货，第二天天下大雨，对安装影响很大，雨稍微小些，安装师傅很得力，下午五点多钟还赶来安装，安装师傅很不错，技娴术熟，安装迅速，安装相当完美，安装师傅辛苦了，给安装师傅一个赞? 。,2020-07-01 22:28:10,2,7,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-09-28 10:00:34,14693194960,"外形外观：产品的外观比较简洁大方，直线和曲线的结合也是非常的合适，整体感觉跟我家的简约装修风格很搭配。
静音效果：使用产品的时候，风速风力都不错，而且没有听到明显的噪音。
送货安装：师傅安装的时候也很认真负责，安装速度也挺快哒！非常满意",2020-09-09 00:13:21,0,1,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-20 14:47:38,14438523239,"总体来说，确实很不错，客服的服务态度也很棒，说话几乎马上就会回消息，物超所值，真心推荐，
大品牌，可以信赖，非常省心，制冷效果好。
送货安装：快，师傅认真负责人。
静音效果：晚上睡觉基本没有什么声音。
节能省电：目前还不知道，没有测试过。
冷暖效果：很制冷，房间比较小，冷下来也就3分钟左右",2020-07-15 17:16:17,1,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-08-25 18:42:22,14570118209,"外形外观：外观简约大气，和家里装修比较搭
冷暖效果：制冷很快
静音效果：这个还没有入住没办法给中肯意见，不过带防直吹功能
节能省电：新一级能效这个是选择这款的主要因素，性价比超高
产品特色：功能比较全，很人性化，很智能，自动调控室温，防止贪凉
送货安装：送货安装服务都很好，送货很快，一直在京东购买，产品也好",2020-08-23 21:53:32,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-21 19:18:27,14443365343,买的是最新版的节能环保挂机空调，颜色白色非常亮丽，试机几乎听不到风声，感觉特别高大尚，极力推荐五分好评。,2020-07-18 23:13:05,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-24 20:10:07,14454476256,"外形外观：条纹设计，简约大气
静音效果：几乎听不到声音
节能省电：新能效更省电
产品特色：非常方便，手机直接遥控
冷暖效果：开机3分钟左右，很好
送货安装：师傅态度好，很愉快",2020-07-05 22:55:36,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-11-20 13:21:06,14936174253,"外形外观：外形很漂亮，时尚美观看上去很。不错。
冷暖效果：制冷效果非常好，开机打到16度以下的屋里就凉快了。做满这个月好多天不需要开电暖气了，自己看攻略就行了。
静音效果：随着房间感觉听不到电机的声音和鸭子气的声音。
节能省电：广阔说是一个晚上2度电用过以后才知道希望能够顺利。
产品特色：双十一打特价非常时期。
送货安装：送货上看着师傅非常专业。",2020-11-11 00:31:45,0,1,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-08-15 15:40:16,14533286675,新一级能效的空调非常省电，送货安装都跟快，费用合理透明，样子也很精致，跟家里的装修非常搭,2020-07-13 00:11:24,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-16 13:11:50,14423504182,一直都在用美的空调，正好新能效出来了，所以又买了一台，首先京东物流到货很快，制冷效果很好，制冷也很快，声音也挺小，开省电模式的话非常省电，再也不用担心耗电的问题了，师傅上门安装很快，服务态度很好，大热天的也挺辛苦的，好评。,2020-07-13 00:08:46,2,1,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-08-21 19:33:09,14556099797,外观漂亮，简洁大方，制冷快，风比较柔和，静音，还可以防直吹，安装师傅服务好，干活专业麻利，收费是根据实际情况和标准来。我家在三楼，配送员一个人扛着4箱两台机器上楼，很辛苦，谢谢，全部五星好评！?,2020-08-20 13:22:07,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-26 16:27:21,14460814632,总体来说，确实不错，美的大品牌比较靠谱，比较值得信赖。京东物流到货也很快。空调外观大气漂亮，制冷效果比较好，制冷也很快，声音也挺小，也不用担心耗电的问题，质量不错，而且最近有活动，买的也挺划算的。到货当天师傅就上门安装，安装技术娴熟，服务态度很好，挺满意这次购物的！,2020-07-24 20:21:38,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-12-13 09:08:21,15037732220,"外形外观：时尚潮流
冷暖效果：这个时间是冬季，制热快
静音效果：躁音小
节能省电：省电
产品特色：很好
送货安装：当天送货，第二天一早安装，师傅大冷天敬业。",2020-12-10 09:39:55,0,1,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-26 11:19:55,14459705358,"外形外观：时尚外观，竖条纹，有种青春感
冷暖效果：制冷效果很棒，制热暂时用不到
静音效果：基本没有声音，打开窗户，外机也很安静
节能省电：新版一级能耗，还有eco模式
送货安装：送装同一天完成，神速",2020-07-25 12:34:52,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-18 00:40:23,14429305993,新能效产品，效率很高，功能很多，颜值也高，手机APP操作很方便，比遥控器功能还多。变频机使用下来比定频舒服很多。,2020-07-11 13:06:57,0,1,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-14 09:42:10,14415217648,"外形外观：条纹的面板，简约大气 
冷暖效果：制冷效果挺好。几分钟屋子里就凉快了。
静音效果：声音很小，不仔细听几乎听不到。
节能省电：用电这个没办法统计。反正新一级能效，信得过。
送货安装：安装师傅送货上门，安装过程十分专业。甚至还扫了地",2020-07-07 18:03:52,0,1,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-11-04 16:48:50,14842180832,"外形外观：外形简单大方，i青春二代，新升级非常耐看
冷暖效果：制冷效果好，拥有电子膨胀阀，
节能省电：新一级能效，省电效果好
送货安装：送货师傅人非常好，安装师傅尽心尽责，非常棒的安装体验",2020-10-30 14:36:43,0,1,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-11-13 10:57:41,14892675086,"空调刚装上，
静音效果：很小
外形外观：美观
冷暖效果：很快
节能省电：还不知道，希望可以省点电
产品特色：美观大方，
送货安装：送货快，安装快，服务态度好，大家电上京东没错",2020-11-11 00:48:50,0,2,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-14 08:35:19,14414971527,外观非常漂亮，制冷速度很快效果很好。基本上没有声音也非常节能，物流安装服务都很好。,2020-07-12 09:24:08,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-26 15:41:12,14460637471,用着非常好，防直吹功能，特别适合家里有小宝宝和老人使用，节能省电，能联网络，真的是经济实惠型。,2020-07-18 11:46:38,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-17 17:54:09,14428109672,质量挺好的，制冷效果特别好。凉而不冻，外观挺时尚大方的，挺好看的，安装人员很热情，安装的特别好，服务态度很好。美的大品牌非常值得信赖，而且是新款，性价比特别的高，非常好好评。信赖，京东支持京东真的很好，非常好。,2020-07-15 21:40:58,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-19 01:00:18,14432985763,"外形外观：很满意漂亮
冷暖效果：超级快，一会儿就凉了
静音效果：声音不大
节能省电：第一次用，还没测试
产品特色：便宜又实惠
送货安装：送货快安装快，完美",2020-07-15 00:23:38,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-08-29 19:49:08,14584130388,外观非常高大上，制冷效果很好制冷很快，静音效果很好基本没什么声音，物流很快，安装也很迅速。推荐购买！,2020-07-18 13:37:59,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-14 22:36:47,14418082732,"真是期待已久啊，在网上选了很久，最后看中这台，美的大品牌，买的放心，而且刚好是新一级能效，外观也很漂亮，安装后启动试验一下，声音很小，只有风量大的时候有很轻的&ldquo;呼呼&rdquo;声，因为我家客厅不大，只有20平方左右，安装的师傅说1.5匹的刚好，而且美的的售后是做的最好的，从此以后每年都可以过凉爽的夏天啦。
外形外观：美观漂亮
冷暖效果：冷气十足
静音效果：基本无声",2020-07-08 18:30:08,1,1,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-08-07 20:32:46,14505921927,"静音效果：实很安静
外形外观：美观大气上档次
冷暖效果：室内降温很快
产品特色：手机即可操控，挺方便
给爸妈买的，挺好的，安装服务也很到位",2020-08-01 21:38:07,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-11-25 22:47:58,14962188338,产品外观精美比较喜欢，美的大品牌值得信赖，安装好试了一下，制热效果不错，物流给力，安装师傅服务很好，技术水平一流。,2020-11-11 20:21:41,0,1,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-14 17:18:29,14416972480,新国标新一级，质量绝对杠杠的。家里之前的美的空调用了十年也没问题，这次为了小宝宝换了新空调。很安静，风也很柔和。特别是安装师傅，人特别好，安装也很专业，很耐心的抽了真空，超级好评。美的服务比某大牌绝对强多了。,2020-07-11 21:22:19,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-11-08 18:23:01,14863667522,空调挺好的，买过两个美的的空调了，今年又买了一个，服务不错，外观好看，简单大气，师傅来了安装试用了，很好，希望使得住,2020-11-06 21:32:36,0,1,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-16 11:58:17,14423236917,"外形外观：美的空调外观精美，给人很直观的感受，白色是款白搭色，不管哪种环境都能很好的融合。
静音效果：档位可以调节，晚上开1档根本听不见空调内机运转的声音，晚上熄灯后空调的显示灯自动熄灭。",2020-07-01 01:29:31,0,1,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-25 13:47:47,14456694016,"冷暖效果：制冷很快，在卧室用开机一会就冷了
节能省电：一级能效，挺省电的
送货安装：很迅速，第二天就送到安装好了
静音效果：外机没啥声音，内机自动挡有声音，睡觉要把风速调到40以下",2020-07-19 19:27:44,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-08-14 17:25:59,14530179000,空调都已经使用好几天啦，刚搬家不久，家里一直还没有购置空调。最近天气实在太热了，选了好几款，最终下手了美的新一级，使用体验非常棒。晚上睡觉不喜欢有亮光，熄灯之后空调指示灯等也暗下来了。没有什么噪音和异味，送货师傅和安装小哥人都非常好，非常满意的衣服购物体验，美的，值得信耐。,2020-08-09 23:06:37,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-19 11:16:41,14433955186,"外形外观：外观时尚
静音效果：运行起来外机声音很小
冷暖效果：运行没几分钟就冷了
送货安装：安装师傅也很专业，帮忙设计了空间排列，避免增加铜管，还对插座线进行了隐藏
我一次就买了2台",2020-07-15 10:05:23,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-08-14 19:06:33,14530505253,"外形外观：内机外观大气，漂亮。遥控器也非常的精致。价格还实惠，服务也非常好。
冷暖效果：立即制冷，不用等待。
静音效果：晚上睡眠模式非常的静音。
节能省电：一级能耗省电。
送货安装：安装服务非常好。安装人员也非常细心。
产品特色：确实符合青春",2020-08-09 15:51:14,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-08-09 17:25:06,14512316797,"外形外观：纯白色，外形美观时尚
冷暖效果：试了下制冷，很大风，房间温度很快就降下来了
静音效果：外挂机声音很小，在房间关窗几乎听不见了
节能省电：新一级能效，很省电
产品特色：新一级能效，省电，外观时尚，制冷效果好
送货安装：安装师傅服务很好，专业，提前打电话，又主动帮装了开关，送货又快",2020-07-28 11:34:28,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-18 19:39:54,14432117928,"今天下单，然后今天就送货到家，并且今天安装完了，速度很快，售后很好，表扬安装师傅和售后，安装得很好。空调外观好看，制冷效果好，新一级能效空调性价比高。
外形外观：简约时尚
冷暖效果：不错
静音效果：安静
节能省电：一级新能效空调省电
产品特色：节能
送货安装：送货速度神速，安装师傅技术好态度好",2020-07-18 04:30:13,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-12 12:25:59,14408293239,"外形外观：很好啊，比较大气
冷暖效果：制冷迅速
静音效果：很静音可以无风感哦
节能省电：5.27能耗比",2020-07-09 11:09:22,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-26 21:53:53,14461948131,"送货安装：货到得很快，安装师傅打电话也很快就到家安装了。
外形外观：时尚大方
冷暖效果：降温很快，在夏天冷风吹的很舒服
静音效果：声音不是很大，没什么噪音，能够熟睡，是完全可以接受的范围
节能省电：我这是回购，就是因为省电效果好，一般开eco模式，一个晚上也几乎不耗什么电
产品特色：非常节能，外观美丽大方，价格合理，值得推荐购买",2020-07-20 22:40:49,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-17 09:52:39,14426340321,已安装完毕，款式新颖，内机用料讲究，高端大气，制冷效果杠杠的，也非常的安排，一级能效，值得拥有。,2020-07-14 09:07:51,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-20 11:52:15,14437859109,"外形外观：外观时尚不落俗套。
冷暖效果：客厅22㎡制冷27度需要盖空调被，由于是夏天制暖没有测试。
静音效果：音跟风速有关，自动风模式下静音效果可以。 
节能省电：新一级能效跟老一级能效具体还没看出省电多少。
产品特色：制冷挺好。
送货安装：送货上门，师傅当天就来安装，安装师傅服务态度好安装的也很专业。",2020-07-13 00:40:35,0,0,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-12 16:55:10,14409283445,"外形外观：外观漂亮，很有艺术感
冷暖效果：制冷效果非常快，开一会屋里就凉
静音效果：外机声音很低，要到近前才能听到声音
送货安装：送货速度非常快安装师傅也跟细心热情，服务也很专业五星好评
产品特色：产品好，服务也很好，性价比高，不亏是大品牌下次还回继续买美的。",2020-07-10 22:07:36,0,1,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
2020-07-12 17:19:03,14409385768,"外形外观：超级的简约风，大气上档次
冷暖效果：制冷效果超级好，声音不大也很小
静音效果：几乎没有噪音
节能省电：这个刚开始用，等一段时间在来追加评价
产品特色：赞
送货安装：很快，安装师傅很专业",2020-07-10 17:26:41,0,1,5,美的(Midea)新一级 i青春II 智能家电 变频冷暖 1.5匹壁挂式空调挂机KFR-35GW/N8XHB1
